sentiment,text
1,Кореяның Қазақстанға салған инвестициясының көлемі 2 миллиард доллардан асып түсті .
1,Жұмыссыздық 12 пайызға төмендеді .
0,Өмір өзгерді .
0,Жағдай өзгерді .
1,"Зейнетақы жинақтарының көлемі 2,2 трлн. теңгеге артты ."
0,Ол солай бола береді деп ойлаймын .
-1,Соған қарамастан мен тәртіп орнатуға қарсы үлкен қарсылықты сезіп тұрмын .
0,Түстен кейін Президент Павлодар ауданындағы емхананы аралады .
0,– Біз жаттығулар барысын мұқият бақылап отырдық .
1,Кешендегі 46 пәтердің барлығы тұрмыстық техникамен жабдықталған .
1,– Бізге жұмыс форматын елеулі түрде қайта қарау керек .
1,Біз осы дәстүрді қастерлеп сақтаймыз және нығайтамыз .
0,Саммит жұмысының қорытындысында « Стамбұл Декларациясы » қабылданды .
0,Заңдардың мәтіндері баспасөзде жарияланады .
0,Осы Жарлық қол қойылған күннен бастап қолданысқа енгізіледі .
1,Бұл ұсыныс біздің көршілеріміз тарапынан қолдау тауып отыр .
0,Осы орайда Нұрсұлтан Назарбаев төрт басым бағыттарды белгіледі .
0,Бұл Стратегия сіздерге арналған .
1,Инвестициялық саладағы ынтымақтастық табысты дамуда .
0,Компания сондай-ақ жүк вагондарын жинау жөніндегі өндірісті жолға қою ниетінде .
1,- Мен осы мерекеге арналған шараларға үлкен толғаныспен қатысамын .
1,Бүгінде оған барлық жағдай жасалған .
1,"Соның өзінде , біз бұл жаман көрсеткіш емес деп санаймыз ."
0,"Нысанның жалпы құны 8,6 миллиард теңге ."
1,"– Бұл – халықтың ұлы мерекесі , күн мен түннің теңелуінің белгісі ."
0,2007 жылы өзара сауда айналымының көлемі 531 миллион АҚШ долларын құраған .
1,- Біздің компания да осы процеске белсене қатысқысы келеді .
1,"Асханаға өткен жылы күрделі жөндеу жасалып , жаңа құрал-жабдық алынған ."
-1,"« Үмітсіз » кредиттердің үлесі – 7,2 пайызға дейін арта түскен ."
0,Бұл барлық әкімдер мен ауыл шаруашылығы тауар өндірушілерінің міндеті .
1,Бұл - біздің үлкен жетістігіміз .
0,Оны түсіндіре білу керек .
1,Кездесу кезінде екіжақты ынтымақтастықтың мәселесі талқыланды .
1,Сондықтан жұртшылық алаңдарлықтай ешқандай себеп жоқ .
0,Мемлекет басшысы екі заңға қол қойды .
1,"Макроэкономикалық көрсеткіштер жаман емес , - деді Г. Марченко ."
0,Мен таң қалып отырмын .
0,Одан кейін еліміздің Президенті дала асханасынан дәм татты .
1,Оң серпін ағымдағы жылы да сақталып отыр .
1,Сіздерді ұлық мереке – Құрбан айт мейрамымен шын жүректен құттықтаймын !
1,Жылдың басында дағдарысқа қарсы бағдарлама бекітілді .
1,– Қазір біз іске асыра алмайтындай жоба жоқ .
1,Қымбатты ханымдар !
0,Кәсіпкерлердің қырық пайызға жуығы әйелдер .
0,"Соның ішінде , олардың үшеуі Мемлекеттік Думаға екі мәртеден сайланды ."
1,Қымбатты отандастар !
0,Содан кейін Мемлекет басшысы « Шапағат » коммуналдық базарында болды .
1,"Қазақстан халқын абыроймен алға бастап , тағы да тарихи тамаша жеңістерге жетіңіз ."
0,Мемлекет басшысы Нұрсұлтан Назарбаев қысқа мерзімді демалысқа шықты .
1,Дик Чейнидің аузынан Астананың атына ешқандай айыптау айтылмады .
0,- Президент Пирамиданы маған резиденция терезесінен көрсетті .
0,Санаулы сәттерден кейін біз жаңа 2012 жылға қадам басамыз .
1,Бұл халықаралық қоғамдастық үшін жақсы жағынан үлгі болады .
1,Бұл мәселеде де біз Нұрсұлтан Әбішұлының қолдауын сезінеміз .
1,Ол стратегиялық әріптестікке және өзара сенімге құрылған .
0,Австрия Қазақстанның басты сауда серіктестері арасында жетінші орын алады .
0,"Олардың арасында Қытай , Түркия , Корея , Жапония бар ."
0,- Біз Қазақстанның табыстары мен жетістіктерін жіті бақылап отырмыз .
1,« Мен Алматы маңындағы осы тамаша жерге келгендеріңіз үшін ризашылығымды білдіремін .
1,Халықаралық күн тәртібіндегі өзекті мәселелер де талқыланды .
1,Еліміздің қорғаныс қабілеті жоғары болуы үшін қолдан келгенді жасау қажет .
0,Еліміздегі орташа жас – 35 .
0,- Қазақстан өзінің Грузиямен байланысында нақты экономикалық мүдделерді көздейді .
1,1995 жылдан бері аталған компания екі миллиард долларға жуық инвестиция салды .
1,"Міне , сонда ғана ол тұрақты болады ."
1,Сізге тағы да « қош келдіңіз » деймін .
0,"Әр нысан , әр салынған ғимарат бірегей болуы керек ."
1,Қазақстан Каспий теңізінің айдынындағы ахуалды сенімді бақылауда ұстайды .
1,"Сондықтан да мұнда біз бәрін мұқият зерттеп , ақылға салып көруіміз керек ."
1,Мен Саммитке әзірлік жөніндегі барлық мәселені шешеміз деп сенемін .
1,Мүгедектер бірлестіктері қызметінің құқықтық базасын жетілдірген жөн .
1,Тек биылғы жылдың өзінде Астанада шетелдердің 12 елшілігі ашылды .
-1,Орталық Азияда ішкі кикілжіңдер сақталуда .
0,Иран Ислам Республикасының Президенті
0,"Жыл сайын , ай сайын жаңа ғимараттар іске қосылып жатыр ."
1,Барлық құқық қорғау жүйесі жұмысының сапасын арттыру қажет .
1,Біз екіжақты қарым-қатынастарды дамытуға мүдделі міз .
1,Екі мемлекет арасында еңсерілмейтін ешқандай қайшылық жоқ .
0,Жобаны жүзеге асыру мерзімі – 4 жыл .
0,Жоба құрылысының басталуы 2008 жылдың көктеміне жоспарланып отыр .
1,"Дамуымыз жедел , келешегіміз кемел болсын !"
0,Жарлықтың мәтіні баспасөзде жарияланады .
1,Осы орайда Сіздің сапарыңыз аса мәнді әрі маңызды болып отыр .
-1,Мұны бір компанияның атқаруы қиын .
0,- Жаңа тұжырымдама толыққанды және дер кезінде енгізілуі қажет .
1,Осының барлығы бізді жігерлендіре түседі .
1,Қазақстан өз жетістіктерімен мақтануға тиіс .
1,Астананың халқы үш есе көбейді .
1,Қазақстандағы ЮНЕСКО тұрақты даму жобасымен айналысады .
1,"Өтіп бара жатқан жылға зор алғысымызды айтамыз , – деді Қазақстан Президенті ."
0,Сұрақтарыңызды мына мекен - жайға жолдауыңызды сұраймыз .
1,"Астана , Ақорда"
0,Бүгін Ақордада Мемлекет басшысы Нұрсұлтан Назарбаевтың төрағалығымен кеңес өтті .
0,Барлық министрлер Президент идеясымен келісті .
1,- Бұл білім ордасы – Астанадағы үздік мектептердің бірі .
1,Осы кезең ішінде әлемдік ішкі жалпы өнім 11 есе өсті .
1,Біз үлгілі дамудың өзіндік моделін қалыптастырдық .
0,Осы сектор субъектілерінің банкроттығының айқын тетіктерін енгізген жөн .
1,- Біз елеулі табыстарға қол жеткіздік .
1,"Ол кезге қарай капитал жинақтап , атыңды танытуға болады ” ."
1,Қазақстан Республикасы туризмді дамытуда үлкен әлеуетке ие .
0,Бір құрам 940 адамға арналған .
1,- Сізді Гонконгте құшақ жая қарсы алу біз үшін үлкен құрмет .
0,Мен үшін Астана – басты мәселе болып табылады .
-1,Бұл жолғы форумның тақырыбы – « Дағдарыстан кейінгі басқару » деп аталды .
0,Заң шығарушылық қызметтегі негізгі бағыт әлеуметтік жаңғырту екені атап өтілді .
0,Қазақстан бизнесі соңғы уақытта Арменияға жіті назар аудара бастады .
0,Бұл елдің тағдырымен бірге өсіп келе жатқан халықтық басылым .
1,Біз келесі жылы Алматыда метро ашамыз .
1,Екіжақты қарым-қатынастарды дамыту саласында көптеген жұмыстар атқарылды .
1,Қазақстан – табиғи ресурстар мен таланттарға аса бай ел .
1,Мен осында болғаныма қуанышты мын .
1,"Сіз Қазақстанда да , бүкіл әлемде де лайықты беделге ие болдыңыз ."
1,“ Сізді егемен Қазақстанның Президенті болып сайлануыңызбен құттықтаймын .
1,Бүгінгі таңда адамзаттың болашағы қандай болатыны бізге байланысты .
1,Қысқа мерзімде Сіздің елдеріңіз тамаша нәтижелерге қол жеткізді .
0,Және бұл жерде демократиялық желеуді алға тартудың реті келмейді .
1,– Халықтың әлеуметтік жағдайы ешқандай да нашарламайды .
1,– Сіздің Съездің табысты өткізілуімен құттықтағым келеді .
1,- Мен Қазақстан секілді керемет елде қызмет етуді көптен бері армандағанмын .
-1,Қазақстан басшысы мұнда менің әкем Президент болып тұрған кезде болған .
1,Жалақы көлемі жоғарылады .
0,– Сіздер “ Нұр Отан ” партиясы ұсынғандар болып табыласыздар .
1,"Мектеп түлектері қазақ , орыс және ағылшын тілдерін білуге тиіс ."
0,Эстония Республикасының Президенті
1,"- Біз көрші мемлекет терміз , біздің ортақ нәрсеміз көп ."
-1,- Экономикадан бастау қажет .
1,Бұл тұрақтылық пен бейбітшілікті сақтау үшін басты шарт .
-1,"Өкінішке орай , олар бұл мәселені шешуге қабілетсіз болып шықты ."
1,"Банктік қызмет көрсету мәдениеті айтарлықтай өсті » , деп атап өтті ."
1,- Алматының күннен - күнге көркеюін көру өте қуанышты .
1,Осы мақсатта Астана қаласына 107 миллиард теңге қаржы бөлінді .
1,- Жастар бірігулері тиіс .
1,- Мен үшін сіздің елде болу үлкен мәртебе .
1,Және осы жолы да Сіз үлкен өкілетті делегацияны бастап келдіңіз .
1,Қазақстан Дағдарысқа қарсы дүниежүзілік конференция ұйымдастырды .
1,Үшінші қабатта Астана қаласы тарихының мұражайын орналастыру жоспарланып отыр .
1,Бесінші басым міндет – жастармен жұмыс .
1,"Бұл денсаулық үшін , ерте диагностика үшін пайдалы ."
1,- Барлық аталған мәселелер бойынша Президент нақты тапсырмалар берді .
1,Қазақстан Өзбекстанмен тығыз байланыс орнатуға ұмтылады .
1,- « Шеврон » көптеген жылдар бойы Қазақстанның әріптесі болғанын мақтан тұтады .
1,Алайда сауда қатынастарына қажетті жақсы алғышарттар бар .
1,Барша еліміз біздің атлеттерімізге жанкүйер болды .
1,Елде тұрақтылық бар .
1,Бұл біздің заңдарымызға қарама-қайшы .
1,АҚШ-пен стратегиялық әріптестік кеңейтілмек .
1,"- Құрметті Президент мырза , мен Сізді Қытайда көргеніме қуанышты мын ."
1,- Қазақстан Орталық Азиядағы көшбасшы ел болып табылады .
1,"Бұл , сөз жоқ , үлкен жетістік ."
0,Осы уақыт аралығында мұнда көп нәрсе өзгерді .
1,Сербия мен Қазақстан арасында шешілмеген мәселе жоқ .
1,Сіздің ұйым ерекше өркениетті миссияны жүзеге асырады .
0,Біз кестеге сай жұмыс жасаймыз .
1,Қазір біз жаңа Алатау ауданын аштық .
1,Бүгін Мемлекет басшысы Нұрсұлтан Назарбаев « Шеврон » компаниясының басшылығын қабылдады .
1,Бұл өзге мемлекеттер мен діни ұйымдар үшін пайдалы .
1,« Қазақ халқы елімізде тұратын басқа халықтардың басын біріктіруі керек .
0,Жарыс « Дәулет » ұлттық теннис орталығында өтті .
1,Содан кейін Италия Үкіметінің басшысы Астананың көрікті жерлерімен танысты .
-1,Мен олай деп санамаймын .
1,Салтанатты ашылу рәсіміне Мемлекет басшысы Нұрсұлтан Назарбаев қатысты .
-1,- Біздің елдеріміз арасында ешқашан ешқандай да қайшылықтар болмаған .
0,- Парламенттің ең басты міндеті – заң шығару жұмысы .
0,Мемлекет басшысы сондай-ақ университеттің кітапханасында болды .
1,Үшінші басым бағыт партияның өңірлердегі белсенді жұмысы болуы тиіс .
1,Қадірлі жамағат !
1,Қазіргі сенім мен достық қатынастар жалғасын табады .
1,- Мен үшін Қазақстан да өз Отаным .
1,"- Құрметті Дмитрий Анатольевич , жоғары деңгейдегі біздің кездесуіміз өте табысты өтуде ."
-1,Біз олардың қайғыларын бөлісеміз .
1,Олар үшін Қазақстан кедергісіз аймаққа айналуға тиіс .
0,Мен біздің тарапымызды да қабылданған шешім қанағаттандыруы тиіс деп ойлаймын .
1,Мен Малайзияның әр азаматына осы кітапты оқып шығуды ұсынғым келеді .
-1,Нәтижесінде ішкі саяси жағдай бақылаудан шығып кетті .
1,Бұл біздің еліміздің салтанаты !
1,Бүкіл әлем осымен айналысады .
1,- Сіз өзіңіздің дана саясатыңыздың арқасында өз еліңіз үшін бәрін жасап келесіз .
0,Мен мұнда қырықтан астам рет болдым .
1,"Ол біздің стратегиялық ұстанымымыз , - атап өтті Нұрсұлтан Назарбаев ."
0,Бас жоспар – бұл қаланың конституциясы .
1,Президент ғылым мен білімнің ықпалдастығына ерекше назар аударды .
1,Мемлекет басшысы Нұрсұлтан Назарбаев « Мәскеу » жаңа бизнес орталығында болды .
0,Жаңа кәсіпорындардың жұмыс істеуі үшін жаңа мамандар қажет .
0,Ғасыр ортасы да таяп қалды .
1,Ол біздің азаматтарымыз үшін нақты нәтижелер әкелетіні маңызды .
1,Біз еліміз Тәуелсіздігінің 15 - жылдығының қарсаңында тұрмыз .
1,Бүгін әлемдегі барша христиандардың мерекесі .
1,Екінші павильонда төрт қабатты қонақ үй кешені орын тепкен .
1,Біздің әңгімелесуіміз нәтижелі болды .
1,"Бұл 2008 жылмен салыстырғанда , бір жарым есе артық ."
1,"Ел-жұрттарыңыздың сіздерге артар сенімі үлкен , үміті зор ."
1,"Осы орайда , патриотизм табысқа жетелеуші қасиеттердің бірі болып табылады ."
1,Жедел жәрдем ауруханасы 2010 жылғы желтоқсанда салынған .
1,Президент бізді барлық бағыт бойынша қолдады .
0,Құрылыстың аумағы 488 шаршы метрді құрайды .
0,Учаскедегі пайдалану жылдамдығы 350 км / сағат .
1,Мемлекет басшысы Алматы қаласының бірқатар нысандарын аралап көрді .
0,Ақтау теңіз сауда портының негізі 1963 жылдың қазан айында қаланған .
1,"Мерекелеріңізбен , қымбатты отандастар !"
1,Әлемде бізді осы қасиеттеріміз үшін бағалайды .
0,Бірінші кезектегі нысандар 2006 жылдың тамызында пайдаланылуға берілді .
1,Біз өзіміздің қазақстандық әріптестерімізбен жұмыс атқаруға дайын быз .
1,"Жаңа халықаралық әуежай , спорт кешендері , мектептер салынады ."
0,Мемлекет басшысы министрлікке бірқатар нақты тапсырмалар жүктеді .
0,"Осылайша , Кедендік одақтың құқықтық базасы 13 құжатты қамтиды ."
0,Шағын және кеңейтілген құрамда келіссөздер жүргізілді .
0,"Жобаның құны 32,2 миллиард теңгені құрайды ."
0,"Бұл тұрғыдан келгенде , Қазақстан елден ерек екенін айтқым келеді ."
0,Біз қайда бара жатырмыз ?
1,"Біздің Отанымыз – Қазақстан Республикасы нығайып , дами берсін !"
0,Мұның жарқын дәлелі – жұмыс берушілердің бағасы .
1,Қазақстан спортшылары Олимпиаданың жеті алтынын жеңіп алды .
0,Сондай-ақ сіздер қазір Алматыда өңірлік қаржы орталығын құрып отырсыздар .
1,- Біз бұл оқиғаны ерекше қуанышпен қарсы алдық .
0,Сондықтан Бәсекелестікті қорғау жөніндегі арнаулы агенттік құрылады .
0,Бүгін бұл 9200 АҚШ долларына жетті .
1,Нашақорлықпен және есірткі бизнесімен күресте табысты жұмыс атқарылды .
0,Жобаның жалпы құны 115 миллиард теңге .
0,2030 стратегиясы 1997 жылы ашық құжат ретінде жасалды .
0,"Бағдардың қашықтығы 4,3 мыңнан астам шақырымды құрайды ."
-1,Парламентте мен сөз сөйлегеннен кейін абдырау мен абыржу болды .
1,Біз бүгін оны өндіріп те жатырмыз .
1,Ендігі ұрпақ – Мәңгілік Қазақтың Перзенті .
0,Сондай-ақ Қазақстан Иранға астық жеткізіп тұруға мүдделі .
-1,Әңгімелесуші тараптар әлемдегі саяси және экономикалық ахуалды талқылады .
-1,Бәрі де болған жәйтті айыптайды .
0,Жабдықтар осы жылдың наурызында іске қосылады .
1,Біз аса маңызды кездесу өткіздік .
1,Алқапта саңырауқұлақтар мен жеміс - жидектер өсіп жатыр .
-1,Азық-түлікке деген қажеттілік арта береді .
1,Атқарылған жұмыстың нәтижесі көзге бірден түседі .
0,Бүгін Президент « Қазақмыс » корпорациясының мыс ерітетін зауытында болды .
1,Мәңгілік Ел – жалпы қазақстандық ортақ шаңырағымыздың ұлттық идеясы .
1,Біз әрдайым қарым-қатынасымыздың серпінін қанағаттанарлық сезіммен айқындаймыз .
1,Қазақстан Ұйымның белсенді мүшесі болып табылады .
0,Мемлекет жыл сайын 2 миллиард 300 миллион теңгеден астам қаржы бөледі .
1,Бізді жеке достығымыз бен тығыз іскерлік қатынастар байланыстырады .
1,Біз елде тұрақтылық болғанда ғана оның дами алатынына сенеміз .
1,Сондықтан да жаңа елордада біз жаңа мәдениет ошақтарын құруға тырыстық .
1,- Соңғы 30 жылда Малайзия аса жылдам дамыды .
1,Екі мемлекет басшылары шағын және кеңейтілген құрамда келіссөздер жүргізді .
1,Нақ мұндайды мен әлемнің ешбір жерінен көрген .
1,Біз бірқатар экономикалық ынтымақтастық мәселелері бойынша келісімге келдік .
-1,2008 - 2009 жылдардағы жаһандық дағдарыс осыны айғақтады .
1,Қазақстанды өзіміздің досымыз ретінде сезіну бізді зор қуанышқа бөлейді .
1,Өзара тауар айналымының деңгейі 53 миллиард долларға жетті .
1,Біз Қазақстанға күллі әлем үшін жасаған жұмыстары үшін алғыс айтамыз .
1,Нұрсұлтан Назарбаев сондай-ақ облыстың Қан құю орталығында болды .
-1,Бұл іс айыптау қорытындысымен прокуратураға жіберілді .
0,Сондай-ақ жаттығу залы мен қысқы бақ бар .
0,Төртінші – экспортқа бағдарлау .
-1,Жаппай тәртіпсіздік фактілері бойынша қылмыстық іс қозғалды .
1,Сіздерді Рождество жарқын мейрамымен шын жүректен құттықтаймын !
0,Юрий Лужков жаңа туындының қолжазбасымен танысып шығыпты .
0,Бүгін Мемлекет басшысы Назарбаев Университетінде болды .
1,156 мектеп жөндеуден өтті .
1,Осы мақсатқа қажетті қаражат бөлінді .
1,Әрқашан аспанымыз ашық болсын .
1,Қазақстан – уран өндіруде әлемдік көшбасшы .
1,- Қазақстан халқы Украинаға тұрақтылық пен игілік тілейді .
0,Президент су ресурстарын сақтау мәселелеріне айрықша назар аударды .
0,"Ұлы Абай « Адамның ұлылығы ұстазынан » , деген ."
1,Қазақстандағы Украина жылы да шараларға толы және мазмұнды болмақ .
0,Бүгін солардың бірқатары Нұрсұлтан Әбішұлы Назарбаевпен кездесуге келді .
0,Православие - Қазақстанда ең көп тараған конфессияның бірі .
-1,Сенатор Серік Ақылбай қылмысқа қарсы күрес тақырыбын қозғады .
1,Республика өте зор әлеуетке ие болатын .
1,Біздің еліміздің экономикасы артқан сайын халықтың да тұрмысы жақсара бермек .
-1,Бұл ретте сыртқы қарыздың өсуіне байланысты проблема бар .
1,- Астана қаласы қарқынды дамып келеді .
0,Заңның мәтіні баспасөзде жарияланады .
1,1939 ж. Қ. Жұмалиев Махамбет өлеңдерінің жинағын шығарды .
-1,Сеулде миллионнан астам адам билікке қарсы көтеріліске шықты .
-1,Өзбекстанда 79 жасына қараған шағында мемлекет басшысы Ислам Каримов дүниеден озды .
1,Қазақстанда жергілікті полиция қызметі өз жұмысын бастады .
1,Қазақстан Еуразиялық Экономикалық Одаққа төрағалығын бастады .
1,8 қаңтар — Қазақстандық сиқыршы Руслан Иванченков бес сағат үздіксіз сиқыр көрсетіп Гиннестің рекордтар кітабына енді .
1,УЕФА 1996 жылдан бергі футзал тарихында медаль алған алғашқы дебютант ел .
-1,"Белгілі ғалым , академик Қаныш Сәтбаевтың үлкен қызы , медицина ғылымдарының докторы , профессор Қаниса Қанышқызы Сәтбаева қайтыс болды ."
-1,Қазақстанның денсаулық сақтау министрі қызметін атқарған Салидат Қайырбекова ауыр сырқаттан көз жұмды .
1,Футболдан Еуропа чемпионатының финалдық матчында Португалия құрамасы Франция командасын жеңіп Еуропа чемпионы атанды .
-1,"Алматы қаласында лаңкестік әрекет орын алып , 5 полиция қызметкері мен 1 бейбіт тұрғын қаза тапты ."
-1,5 полиция қызметкері жарақаттанған .
1,"Өскеменнің ар жағында , Бұқтырманың оң жағында әлемге аян Алтай бар ."
0,Аттан !
0,Манағы ала атты кім ?
0,Қыз алып қашқан орыстар кім ?
-1,Бұларды қуам деп оққа ұшқан кім ?
0,"Қане , осыны дауысқа саламын ."
1,Атым — Бекболат .
0,"Ағам отау болып , енші алып кетті ."
0,Інім Семейде оқуда .
-1,"Көршінің қатыны мен қожаның өсегі білінген соң , әкеміз шығарып жіберіп , содан кейін көзіміз ашылды ."
0,Бірақ оған артық араласпаймын .
-1,"Төбелес болса жасаққа шығамын , қыз қашқан , қатын кеткен топтардан қалмаймын ."
-1,Не болғанымды білмедім .
-1,Адам лаж сыз елінің тілегіне бағынады .
-1,Қазақ солдаттан өлгенше қорқады .
-1,"Патшамен соғыс ашқанда , ел-жұрт , отанымды қорғауға , біз соғысқа бардық ."
-1,Анығында қазақ мемлекетке не пайда келтіріп отыр ?
-1,"Патша қазақты қара жұмысқа алам дегенде , қандай қорқып , абыржып , қиратылып қалды ."
-1,"Кім біледі , қолына қару берсе , орыс жұртына жау болып кетпесіне кімнің көзі жетеді ?"
-1,"Онда ұлы Ресей кемиді , жері , елі азайып қалады ."
1,Қазақта жер көп .
-1,"Алдымыз қашып , Қытай жеріне өтіп кетті ."
0,"Ендеше , біз тіршілік қып жүрміз ."
-1,Бірінен болмаса бірінен өлуіміз хақ .
1,Біз әзір тіріміз .
0,Жасым 35-те .
-1,"Өліп бара жатырмын десең , қойға бір тайын мінгізбейді ."
0,Оны айтып жүрген өзіміздің қойшылар .
-1,Бірақ ұрлығымыз шығып қалды .
0,Қашағанды жалғыз ұстаймын .
1,"Ертіс ағып , Өскемен , Зайсан , Семей сияқты қалаларды көрдім ."
1,"Кедей жақтың келіншектеріне ет , май беріп , көңіл қостым ."
1,"Жылқы бағып жүріп , қалың беріп , қатын алдым ."
1,"Ақтар қашып , қызылдар келіп , қала - қалаға орнады ."
-1,"Байдың малын , артық қатынын , жерін кедейге тартып әпереді деген лақаптар шыққан соң , жатсам ұйқым , тұрсам күлкім келмейді ."
1,"Біреу қазақ жақсы деді , біреу орыс жақсы деді ."
-1,Менен жұрт сескенейін деді .
0,"Елге келген соң ауыл - ауылдан мал , киіз , төсек - орын , ыдыс - сайман алып жүрген ақтардың адамына жолығып , іш пікірім ішімде соларға кісі болдым ."
0,Олар маған жақсы қыз тауып бер деді .
-1,"Өмірі байдан , күштіден қорлық - зорлық көріп келдім ."
-1,Енді оларды мен несіне аяйын ?
-1,Алып келген манағы қолын артып жатқан жирен орыс екен .
-1,Бірақ енді қайта сүюге қызға ұмтылмады .
-1,Жирен орыс манағыдай емес .
0,"Шайларын ішіп , шылымдарын тартысып болған соң , өзгелері тысқа шықты ."
0,Орыстар тұра ұмтылды .
-1,Өлген жирен орысты көп солдат алып кетті .
-1,"Бірақ төбелесіп өлтіріспей , алыстан атып өлтіріскеніне түсіне алмады ."
1,— Мына төре сені жақсы көрген .
1,Бұл өзі үлкен төре .
1,Қорықпайтын кісі .
-1,Анау жігіттен сені маған бер деп сұраған .
1,Саған ешкім тимейді .
0,Ол бермеген .
-1,"Екеуі дауласқан , шатақ шыққан ."
-1,Сен қорықпа .
1,Мына төре сені ешкімге бермейді .
0,Бұл сені қатын қылады .
1,Бұл көп білетін ақылды жігіт .
1,Бұл кісі сені жақсы көреді .
1,Сені күтеді .
1,Үлкен төре деп мақтайды .
1,Анда - санда қара мұрт оған сөз үйретіп тұрды .
-1,Оның көп сөзі миына қонбайды .
1,"Ендеше , жақсы көргені рас ."
0,Ел қайда ?
-1,"Қара күшке , тағдырға не шара ?"
-1,Жамандығынан мұндай болған .
-1,"Малына , жанына ие болып отырған қай қазақ бар ?"
-1,"Қызды алам деп жүргенде , бұл иттер шешесін атып өлтіріпті ."
-1,Мұның арты үлкен дүрбелеңге шаппасын кім біледі ?
-1,"Ағасы болмаса , бұ қызда не жазық бар еді ? . ."
-1,Енді бұл беттен қайтуға өткел жоқ ...
1,Дауа жоқ ...
0,Бай неліктен бай болады ?
1,"Қыстауға қонса , бата оқу болса , мал өлсе , құрбандық берсе , бас пен жамбас молданың алдына тартылатын ."
0,Онан өзгені іздемейді .
-1,"Кімге жалынсын , кімге сенсін ?"
1,"Алтынай малын сауады , өгізді көздейді , байлайды , отынын тереді , отын жағады , суын әкеледі ,"
1,"күл шығарады , тамағын істейді , киімін өзі тігеді , үйін жияды , сыпырады , қорасын тазалайды ."
1,Мұның бәрі оған құдайдың бұйырған жұмысы тәрізді .
1,Бұл — құдайдың бұйрығы .
1,"Бұрынғыдай емес , Алтынай тұрмысына енді риза ."
1,"Байы атқа мініп , кісі болды ."
0,"Кісі болғалы , үйі үй болып келеді ."
1,"Жоқ , Алтынайдың өзінше дәмі әбден бар ."
